gene_oid	gene_length	percent_identity	query_start	query_end	subj_start	subj_end	evalue	bit_score	ko_id	ko_name	EC	img_ko_flag
2706068093	165	78.79	1	165	1	165	1.1e-98	320	KO:K03422	methyl-coenzyme M reductase subunit D		Yes
2706068098	193	49.74	1	188	1	191	1.8e-67	235	KO:K09154	uncharacterized protein		Yes
2706068099	249	77.14	3	247	71	315	0.0e+00	447	KO:K07139	uncharacterized protein		Yes
2706068102	762	49.47	1	753	1	727	0.0e+00	780	KO:K10726	replicative DNA helicase Mcm [EC:3.6.4.-]	EC:3.6.4.-	Yes
2706068104	417	78.95	1	417	1	418	0.0e+00	796	KO:K16792	methanogen homoaconitase large subunit [EC:4.2.1.114]	EC:4.2.1.114	Yes
2706068105	285	76.33	1	283	4	286	0.0e+00	522	KO:K01902	succinyl-CoA synthetase alpha subunit [EC:6.2.1.5]	EC:6.2.1.5	Yes
2706068106	524	80.15	1	524	1	523	0.0e+00	974	KO:K00058	D-3-phosphoglycerate dehydrogenase [EC:1.1.1.95]	EC:1.1.1.95	Yes
2706068107	140	74.82	1	139	2	140	1.3e-71	240	KO:K08978	bacterial/archaeal transporter family protein		Yes
2706068109	717	73.67	6	717	8	716	0.0e+00	1220	KO:K10726	replicative DNA helicase Mcm [EC:3.6.4.-]	EC:3.6.4.-	Yes
2706068111	85	78.57	1	84	1	84	3.1e-45	160	KO:K14111	energy-converting hydrogenase B subunit B		Yes
2706068113	132	74.6	2	127	3	128	3.2e-63	216	KO:K09737	uncharacterized protein		Yes
2706068114	323	76.47	1	323	1	323	0.0e+00	590	KO:K01499	methenyltetrahydromethanopterin cyclohydrolase [EC:3.5.4.27]	EC:3.5.4.27	Yes
2706068116	338	78.93	1	337	1	337	0.0e+00	604	KO:K00003	homoserine dehydrogenase [EC:1.1.1.3]	EC:1.1.1.3	Yes
2706068117	178	68.54	1	178	29	206	2.0e-96	315	KO:K19664	CDP-2,3-bis-(O-geranylgeranyl)-sn-glycerol synthase [EC:2.7.7.67]	EC:2.7.7.67	Yes
2706068118	196	85.57	3	196	2	195	5.0e-125	398	KO:K03388	heterodisulfide reductase subunit A [EC:1.8.98.1]	EC:1.8.98.1	Yes
2706068119	456	84.8	1	454	5	458	0.0e+00	936	KO:K03388	heterodisulfide reductase subunit A [EC:1.8.98.1]	EC:1.8.98.1	Yes
2706068120	288	71.53	1	288	1	288	0.0e+00	517	KO:K14128	F420-non-reducing hydrogenase small subunit [EC:1.12.99.-]	EC:1.12.99.-	Yes
2706068121	419	77.51	1	418	1	418	0.0e+00	788	KO:K14126	F420-non-reducing hydrogenase large subunit [EC:1.12.99.-]	EC:1.12.99.-	Yes
2706068123	390	76.49	3	389	3	388	0.0e+00	701	KO:K08289	phosphoribosylglycinamide formyltransferase 2 [EC:2.1.2.2]	EC:2.1.2.2	Yes
2706068125	418	65.47	3	418	4	420	0.0e+00	660	KO:K03592	PmbA protein		Yes
2706068127	185	76.92	3	184	2	183	1.6e-103	336	KO:K00759	adenine phosphoribosyltransferase [EC:2.4.2.7]	EC:2.4.2.7	Yes
2706068128	194	61.9	6	194	4	192	5.3e-87	290	KO:K08093	3-hexulose-6-phosphate synthase [EC:4.1.2.43]	EC:4.1.2.43	Yes
2706068129	593	66.61	3	593	33	634	0.0e+00	984	KO:K07219	putative molybdopterin biosynthesis protein		Yes
2706068130	287	83.28	1	287	1	287	0.0e+00	564	KO:K00826	branched-chain amino acid aminotransferase [EC:2.6.1.42]	EC:2.6.1.42	Yes
2706068132	442	82.81	1	442	5	446	0.0e+00	859	KO:K03076	preprotein translocase subunit SecY		Yes
2706068133	143	80.42	1	143	1	143	2.7e-85	280	KO:K02876	large subunit ribosomal protein L15		Yes
2706068134	154	82.47	1	154	1	154	8.6e-94	305	KO:K02907	large subunit ribosomal protein L30		Yes
2706068135	222	83.26	6	220	5	219	0.0e+00	433	KO:K02988	small subunit ribosomal protein S5		Yes
2706068136	209	80.51	1	195	1	195	3.6e-113	366	KO:K02881	large subunit ribosomal protein L18		Yes
2706068137	154	80.54	1	149	1	149	1.3e-86	284	KO:K02885	large subunit ribosomal protein L19e		Yes
2706068138	138	76.12	5	138	3	136	1.0e-72	243	KO:K02912	large subunit ribosomal protein L32e		Yes
2706068139	182	83.52	1	182	1	182	5.3e-108	348	KO:K02933	large subunit ribosomal protein L6		Yes
2706068140	130	88.46	1	130	1	130	1.3e-81	268	KO:K02994	small subunit ribosomal protein S8		Yes
2706068141	47	76.92	9	47	15	53	6.7e-17	76.1	KO:K02954	small subunit ribosomal protein S14		Yes
2706068142	182	80.77	1	182	1	182	2.3e-112	360	KO:K02931	large subunit ribosomal protein L5		Yes
2706068143	249	76.02	2	247	1	246	0.0e+00	454	KO:K02987	small subunit ribosomal protein S4e		Yes
2706068144	125	78.15	2	120	1	119	4.6e-64	217	KO:K02895	large subunit ribosomal protein L24		Yes
2706068145	132	88.64	1	132	1	132	1.2e-82	271	KO:K02874	large subunit ribosomal protein L14		Yes
2706068146	109	72.64	1	106	14	119	2.1e-57	197	KO:K02961	small subunit ribosomal protein S17		Yes
2706068147	95	81.25	1	95	17	112	1.2e-47	168	KO:K03538	ribonuclease P protein subunit POP4 [EC:3.1.26.5]	EC:3.1.26.5	Yes
2706068148	102	89.22	1	102	1	102	2.4e-66	221	KO:K03113	translation initiation factor 1		Yes
2706068149	70	74.29	1	70	1	70	9.4e-30	115	KO:K02904	large subunit ribosomal protein L29		Yes
2706068150	210	77.83	1	202	1	203	6.4e-119	382	KO:K02982	small subunit ribosomal protein S3		Yes
2706068151	153	82.89	1	152	1	152	3.2e-93	303	KO:K02890	large subunit ribosomal protein L22		Yes
2706068153	89	71.59	1	88	1	88	1.5e-40	148	KO:K03232	elongation factor 1-beta		Yes
2706068154	54	92.59	1	54	1	54	4.1e-37	134	KO:K07580	Zn-ribbon RNA-binding protein		Yes
2706068155	217	61.79	6	216	1	212	1.2e-93	311	KO:K07144	uncharacterized protein		Yes
2706068158	622	46.05	2	610	3	618	0.0e+00	649	KO:K14475	inhibitor of cysteine peptidase		Yes
2706068159	256	66.67	1	256	1	269	4.0e-128	413	KO:K06981	isopentenyl phosphate kinase [EC:2.7.4.26]	EC:2.7.4.26	Yes
2706068160	466	74.46	1	462	1	462	0.0e+00	804	KO:K19266	lactaldehyde dehydrogenase [EC:1.2.1.22]	EC:1.2.1.22	Yes
2706068162	340	70.88	1	340	1	340	0.0e+00	585	KO:K09726	uncharacterized protein		Yes
2706068163	243	67.76	1	243	3	247	2.7e-120	389	KO:K09740	uncharacterized protein		Yes
2706068164	158	72.19	8	158	15	161	3.7e-77	258	KO:K02965	small subunit ribosomal protein S19		Yes
2706068165	241	84.23	1	241	1	241	0.0e+00	491	KO:K02886	large subunit ribosomal protein L2		Yes
2706068166	86	81.4	1	86	1	86	2.8e-46	164	KO:K02892	large subunit ribosomal protein L23		Yes
2706068167	253	80.56	1	252	5	256	0.0e+00	477	KO:K02930	large subunit ribosomal protein L4e		Yes
2706068168	333	81.63	1	332	1	332	0.0e+00	665	KO:K02906	large subunit ribosomal protein L3		Yes
2706068169	197	54.74	6	194	10	196	7.9e-72	247	KO:K07477	translin		Yes
2706068171	391	66.93	6	384	2	382	0.0e+00	596	KO:K02492	glutamyl-tRNA reductase [EC:1.2.1.70]	EC:1.2.1.70	Yes
2706068172	178	67.05	4	176	1	173	4.4e-81	271	KO:K00762	orotate phosphoribosyltransferase [EC:2.4.2.10]	EC:2.4.2.10	Yes
2706068174	731	85.3	1	728	1	727	0.0e+00	1420	KO:K13525	transitional endoplasmic reticulum ATPase		Yes
