gene_oid	gene_length	percent_identity	query_start	query_end	subj_start	subj_end	evalue	bit_score	ko_id	ko_name	EC	img_ko_flag
2706069314	243	76.03	1	242	39	280	0.0e+00	442	KO:K07049	TatD-related deoxyribonuclease		Yes
2706069315	113	85.84	1	113	1	113	1.1e-68	229	KO:K09731	uncharacterized protein		Yes
2706069319	281	78.65	1	281	1	281	0.0e+00	503	KO:K02038	phosphate transport system permease protein		Yes
2706069320	345	63.75	7	336	122	452	0.0e+00	524	KO:K07463	archaea-specific RecJ-like exonuclease		Yes
2706069323	99	69.39	1	98	1	98	1.1e-49	175	KO:K00567	methylated-DNA-[protein]-cysteine S-methyltransferase [EC:2.1.1.63]	EC:2.1.1.63	Yes
2706069332	315	71.34	1	313	1	314	0.0e+00	534	KO:K00784	ribonuclease Z [EC:3.1.26.11]	EC:3.1.26.11	Yes
2706069335	464	77.73	1	464	5	471	0.0e+00	877	KO:K01881	prolyl-tRNA synthetase [EC:6.1.1.15]	EC:6.1.1.15	Yes
2706069336	132	64.75	9	129	1	122	1.6e-52	186	KO:K06199	CrcB protein		Yes
2706069337	293	68.94	1	291	1	292	0.0e+00	469	KO:K09116	uncharacterized protein		Yes
2706069338	350	82.57	1	350	1	350	0.0e+00	671	KO:K01933	phosphoribosylformylglycinamidine cyclo-ligase [EC:6.3.3.1]	EC:6.3.3.1	Yes
2706069339	189	75.27	1	186	1	186	1.7e-107	348	KO:K01951	GMP synthase (glutamine-hydrolysing) [EC:6.3.5.2]	EC:6.3.5.2	Yes
2706069342	312	79.59	19	312	12	305	0.0e+00	588	KO:K02683	DNA primase small subunit [EC:2.7.7.-]	EC:2.7.7.-	Yes
2706069343	99	82.83	1	99	1	99	3.4e-54	187	KO:K09732	uncharacterized protein		Yes
2706069344	253	79.92	1	253	4	257	0.0e+00	478	KO:K02050	NitT/TauT family transport system permease protein		Yes
2706069345	261	84.25	1	254	1	254	0.0e+00	497	KO:K02049	NitT/TauT family transport system ATP-binding protein		Yes
2706069350	454	75.34	13	453	1	442	0.0e+00	796	KO:K00012	UDPglucose 6-dehydrogenase [EC:1.1.1.22]	EC:1.1.1.22	Yes
2706069352	379	69.45	1	378	1	373	0.0e+00	589	KO:K02017	molybdate transport system ATP-binding protein [EC:3.6.3.29]	EC:3.6.3.29	Yes
2706069353	262	75	4	254	1	252	2.1e-130	420	KO:K02018	molybdate transport system permease protein		Yes
2706069354	272	63.4	9	272	6	269	6.8e-122	397	KO:K02020	molybdate transport system substrate-binding protein		Yes
2706069359	307	78.29	1	304	1	304	0.0e+00	566	KO:K15986	manganese-dependent inorganic pyrophosphatase [EC:3.6.1.1]	EC:3.6.1.1	Yes
2706069361	303	70.03	1	301	1	305	0.0e+00	490	KO:K00872	homoserine kinase [EC:2.7.1.39]	EC:2.7.1.39	Yes
2706069362	256	81.2	5	254	1	250	0.0e+00	476	KO:K07321	CO dehydrogenase maturation factor		Yes
2706069364	303	93.65	5	303	1	299	0.0e+00	633	KO:K06215	pyridoxal 5'-phosphate synthase pdxS subunit [EC:4.3.3.6]	EC:4.3.3.6	Yes
2706069379	243	60.17	1	241	1	240	6.4e-100	331	KO:K07257	spore coat polysaccharide biosynthesis protein SpsF		Yes
2706069380	337	49.86	4	336	2	347	2.2e-115	384	KO:K18430	N,N'-diacetyllegionaminate synthase [EC:2.5.1.101]	EC:2.5.1.101	Yes
2706069380	337	65.88	1	337	1	337	0.0e+00	525	KO:K01654	N-acetylneuraminate synthase [EC:2.5.1.56]	EC:2.5.1.56	Yes
2706069382	177	56	2	172	4	177	3.9e-62	218	KO:K00983	N-acylneuraminate cytidylyltransferase [EC:2.7.7.43]	EC:2.7.7.43	Yes
2706069384	356	65.56	2	349	3	363	0.0e+00	548	KO:K07011	uncharacterized protein		Yes
2706069390	391	69.44	1	391	1	396	0.0e+00	654	KO:K07468	putative ATP-dependent DNA ligase [EC:6.5.1.1]	EC:6.5.1.1	Yes
2706069392	173	79.19	1	173	50	222	2.8e-97	317	KO:K01803	triosephosphate isomerase (TIM) [EC:5.3.1.1]	EC:5.3.1.1	Yes
2706069393	272	86.03	1	272	1	272	0.0e+00	552	KO:K16306	fructose-bisphosphate aldolase / 2-amino-3,7-dideoxy-D-threo-hept-6-ulosonate synthase [EC:4.1.2.13 2.2.1.10]	EC:2.2.1.10	Yes
2706069393	272	86.03	1	272	1	272	0.0e+00	552	KO:K16306	fructose-bisphosphate aldolase / 2-amino-3,7-dideoxy-D-threo-hept-6-ulosonate synthase [EC:4.1.2.13 2.2.1.10]	EC:4.1.2.13	Yes
2706069396	359	81.62	1	359	68	426	0.0e+00	682	KO:K01689	enolase [EC:4.2.1.11]	EC:4.2.1.11	Yes
2706069398	285	83.45	1	284	1	284	0.0e+00	559	KO:K03799	heat shock protein HtpX [EC:3.4.24.-]	EC:3.4.24.-	Yes
2706069399	268	51.44	55	262	2	209	9.7e-79	273	KO:K01673	carbonic anhydrase [EC:4.2.1.1]	EC:4.2.1.1	Yes
2706069402	149	85.23	1	149	1	147	3.7e-86	283	KO:K13993	HSP20 family protein		Yes
2706069403	186	55.33	1	186	7	202	1.0e-77	262	KO:K01174	micrococcal nuclease [EC:3.1.31.1]	EC:3.1.31.1	Yes
