gene_oid	gene_length	percent_identity	query_start	query_end	subj_start	subj_end	evalue	bit_score	ko_id	ko_name	EC	img_ko_flag
2706066621	266	63.16	1	266	1	266	7.3e-124	402	KO:K06989	aspartate dehydrogenase [EC:1.4.1.21]	EC:1.4.1.21	Yes
2706066623	198	74.24	1	197	1	198	4.4e-107	347	KO:K00564	16S rRNA (guanine1207-N2)-methyltransferase [EC:2.1.1.172]	EC:2.1.1.172	Yes
2706066624	322	89.75	1	322	1	322	0.0e+00	664	KO:K04483	DNA repair protein RadA		Yes
2706066625	190	66.85	1	180	1	184	9.9e-89	294	KO:K02191	cobalt-precorrin-6B (C15)-methyltransferase [EC:2.1.1.196]	EC:2.1.1.196	Yes
2706066627	337	72.17	7	333	11	333	0.0e+00	555	KO:K06984	beta-ribofuranosylaminobenzene 5'-phosphate synthase [EC:2.4.2.54]	EC:2.4.2.54	Yes
2706066630	317	71.97	1	313	1	314	0.0e+00	535	KO:K00784	ribonuclease Z [EC:3.1.26.11]	EC:3.1.26.11	Yes
2706066631	303	77.48	1	302	24	325	0.0e+00	586	KO:K08679	UDP-glucuronate 4-epimerase [EC:5.1.3.6]	EC:5.1.3.6	Yes
2706066632	627	69	1	625	1	626	0.0e+00	1040	KO:K01953	asparagine synthase (glutamine-hydrolysing) [EC:6.3.5.4]	EC:6.3.5.4	Yes
2706066643	258	75.19	1	253	1	258	0.0e+00	473	KO:K02823	dihydroorotate dehydrogenase electron transfer subunit		Yes
2706066644	632	57.85	8	518	21	540	0.0e+00	691	KO:K06870	uncharacterized protein		Yes
2706066646	149	77.24	2	146	19	162	3.1e-76	254	KO:K00610	aspartate carbamoyltransferase regulatory subunit		Yes
2706066648	200	67.88	6	198	1	192	2.1e-90	300	KO:K19712	adenosylcobinamide-phosphate guanylyltransferase [EC:2.7.7.62]	EC:2.7.7.62	Yes
2706066653	195	69.39	1	195	1	196	5.9e-103	335	KO:K03390	heterodisulfide reductase subunit C [EC:1.8.98.1]	EC:1.8.98.1	Yes
2706066656	236	79.39	11	236	1	228	0.0e+00	445	KO:K03386	peroxiredoxin (alkyl hydroperoxide reductase subunit C) [EC:1.11.1.15]	EC:1.11.1.15	Yes
2706066659	118	78.81	1	118	1	118	4.9e-71	236	KO:K05919	superoxide reductase [EC:1.15.1.2]	EC:1.15.1.2	Yes
2706066662	99	60.87	1	92	1	90	2.0e-32	126	KO:K09715	uncharacterized protein		Yes
2706066663	130	62.5	1	128	1	126	5.7e-52	184	KO:K07732	riboflavin kinase, archaea type [EC:2.7.1.161]	EC:2.7.1.161	Yes
2706066664	323	85.76	1	323	1	323	0.0e+00	645	KO:K00320	5,10-methylenetetrahydromethanopterin reductase [EC:1.5.98.2]	EC:1.5.98.2	Yes
2706066665	359	76.88	1	359	1	359	0.0e+00	658	KO:K11781	FO synthase subunit 2 [EC:2.5.1.77]	EC:2.5.1.77	Yes
2706066666	152	79.05	1	148	1	148	9.9e-84	276	KO:K02201	pantetheine-phosphate adenylyltransferase [EC:2.7.7.3]	EC:2.7.7.3	Yes
2706066667	305	74.58	1	299	1	298	0.0e+00	520	KO:K07088	uncharacterized protein		Yes
2706066668	139	81.75	1	126	1	126	1.3e-73	246	KO:K09727	uncharacterized protein		Yes
2706066669	498	71.23	1	498	1	504	0.0e+00	882	KO:K18210	fumarate reductase (CoM/CoB) subunit B [EC:1.3.4.1]	EC:1.3.4.1	Yes
2706066670	193	70.47	1	193	1	193	4.9e-99	324	KO:K08093	3-hexulose-6-phosphate synthase [EC:4.1.2.43]	EC:4.1.2.43	Yes
2706066671	638	72.87	6	638	2	634	0.0e+00	1090	KO:K07219	putative molybdopterin biosynthesis protein		Yes
2706066672	224	77.23	1	224	1	224	4.7e-126	404	KO:K06988	uncharacterized protein		Yes
2706066681	141	47.37	15	141	10	142	9.9e-34	133	KO:K07143	UPF0148 protein		Yes
2706066682	100	41.49	7	100	13	106	6.6e-28	113	KO:K07043	uncharacterized protein		Yes
2706066683	961	43.43	5	933	4	941	0.0e+00	912	KO:K01153	type I restriction enzyme, R subunit [EC:3.1.21.3]	EC:3.1.21.3	Yes
2706066685	446	42.86	22	442	6	429	1.3e-103	359	KO:K01154	type I restriction enzyme, S subunit [EC:3.1.21.3]	EC:3.1.21.3	Yes
2706066686	509	63.35	6	503	7	508	0.0e+00	734	KO:K03427	type I restriction enzyme M protein [EC:2.1.1.72]	EC:2.1.1.72	Yes
2706066687	450	73.61	1	449	3	453	0.0e+00	771	KO:K06935	uncharacterized protein		Yes
2706066689	304	67.21	1	299	20	324	0.0e+00	499	KO:K01784	UDP-glucose 4-epimerase [EC:5.1.3.2]	EC:5.1.3.2	Yes
2706066691	343	76.34	26	342	43	358	0.0e+00	587	KO:K07139	uncharacterized protein		Yes
2706066692	220	62.03	31	217	8	190	8.6e-77	264	KO:K09154	uncharacterized protein		Yes
2706066693	472	81.7	1	459	1	455	0.0e+00	874	KO:K00764	amidophosphoribosyltransferase [EC:2.4.2.14]	EC:2.4.2.14	Yes
2706066695	509	66.34	1	508	1	513	0.0e+00	747	KO:K04800	replication factor C large subunit		Yes
2706066696	365	73.24	1	352	1	354	0.0e+00	618	KO:K18882	DNA primase large subunit [EC:2.7.7.-]	EC:2.7.7.-	Yes
2706066697	168	78.34	3	159	3	158	6.1e-91	298	KO:K16793	methanogen homoaconitase small subunit [EC:4.2.1.114]	EC:4.2.1.114	Yes
2706066698	593	84.34	1	593	1	594	0.0e+00	1180	KO:K06174	ATP-binding cassette, sub-family E, member 1		Yes
2706066700	97	59.18	1	97	1	98	9.7e-34	129	KO:K04093	chorismate mutase [EC:5.4.99.5]	EC:5.4.99.5	Yes
2706066702	80	73.08	1	78	1	78	1.2e-39	144	KO:K14119	energy-converting hydrogenase B subunit J		Yes
2706066703	497	65.02	1	496	1	501	0.0e+00	837	KO:K14120	energy-converting hydrogenase B subunit K		Yes
2706066704	175	78.44	1	167	11	177	5.0e-101	328	KO:K14121	energy-converting hydrogenase B subunit L		Yes
2706066707	407	62.78	49	407	23	381	0.0e+00	546	KO:K02016	iron complex transport system substrate-binding protein		Yes
2706066708	343	77.71	4	343	2	340	0.0e+00	602	KO:K02015	iron complex transport system permease protein		Yes
2706066709	256	72.55	1	255	1	253	0.0e+00	440	KO:K02013	iron complex transport system ATP-binding protein [EC:3.6.3.34]	EC:3.6.3.34	Yes
2706066712	1246	44.18	7	1246	1	1244	0.0e+00	1190	KO:K03581	exodeoxyribonuclease V alpha subunit [EC:3.1.11.5]	EC:3.1.11.5	Yes
2706066714	468	68.01	1	465	1	469	0.0e+00	740	KO:K07583	tRNA pseudouridine synthase 10 [EC:5.4.99.-]	EC:5.4.99.-	Yes
2706066716	468	69.41	10	447	11	447	0.0e+00	743	KO:K07558	tRNA nucleotidyltransferase (CCA-adding enzyme) [EC:2.7.7.72]	EC:2.7.7.72	Yes
