gene_oid	gene_length	percent_identity	query_start	query_end	subj_start	subj_end	evalue	bit_score	ko_id	ko_name	EC	img_ko_flag
2706069531	163	67.08	4	163	3	162	8.0e-77	258	KO:K03789	ribosomal-protein-alanine N-acetyltransferase [EC:2.3.1.128]	EC:2.3.1.128	Yes
2706069536	356	73.52	1	355	1	355	0.0e+00	651	KO:K00441	coenzyme F420 hydrogenase subunit beta [EC:1.12.98.1]	EC:1.12.98.1	Yes
2706069538	336	79.52	1	332	1	332	0.0e+00	630	KO:K10978	methanogen homoisocitrate dehydrogenase [EC:1.1.1.87 1.1.1.-]	EC:1.1.1.-	Yes
2706069538	336	79.52	1	332	1	332	0.0e+00	630	KO:K10978	methanogen homoisocitrate dehydrogenase [EC:1.1.1.87 1.1.1.-]	EC:1.1.1.87	Yes
2706069542	266	66.29	4	266	1	263	2.2e-128	415	KO:K06173	tRNA pseudouridine38-40 synthase [EC:5.4.99.12]	EC:5.4.99.12	Yes
2706069544	612	79.73	1	592	1	589	0.0e+00	1120	KO:K01652	acetolactate synthase I/II/III large subunit [EC:2.2.1.6]	EC:2.2.1.6	Yes
2706069545	182	85.63	16	182	3	169	8.4e-99	322	KO:K01653	acetolactate synthase I/III small subunit [EC:2.2.1.6]	EC:2.2.1.6	Yes
2706069546	665	70.65	198	665	42	517	0.0e+00	780	KO:K01875	seryl-tRNA synthetase [EC:6.1.1.11]	EC:6.1.1.11	Yes
2706069548	185	78.26	1	183	1	184	2.7e-106	344	KO:K03186	4-hydroxy-3-polyprenylbenzoate decarboxylase [EC:4.1.1.98]	EC:4.1.1.98	Yes
2706069549	451	88.44	1	450	7	456	0.0e+00	903	KO:K03106	signal recognition particle subunit SRP54		Yes
2706069550	400	76.92	3	392	6	395	0.0e+00	690	KO:K03042	DNA-directed RNA polymerase subunit A" [EC:2.7.7.6]	EC:2.7.7.6	Yes
2706069551	102	77.32	1	97	1	97	4.7e-52	182	KO:K02908	large subunit ribosomal protein L30e		Yes
2706069552	200	70.62	1	194	1	188	7.7e-91	301	KO:K02600	N utilization substance protein A		Yes
2706069553	147	95.24	1	147	1	147	7.4e-102	327	KO:K02950	small subunit ribosomal protein S12		Yes
2706069554	188	89.36	1	188	1	188	3.8e-120	383	KO:K02992	small subunit ribosomal protein S7		Yes
2706069555	727	91.75	1	727	1	727	0.0e+00	1540	KO:K03234	elongation factor 2		Yes
2706069556	428	93.69	1	428	1	428	0.0e+00	927	KO:K03231	elongation factor 1-alpha		Yes
2706069557	102	88.24	1	102	1	102	6.4e-63	212	KO:K02946	small subunit ribosomal protein S10		Yes
2706069559	621	73.75	1	620	1	618	0.0e+00	1120	KO:K00441	coenzyme F420 hydrogenase subunit beta [EC:1.12.98.1]	EC:1.12.98.1	Yes
2706069561	285	69.47	1	285	1	285	0.0e+00	475	KO:K14940	gamma-F420-2:alpha-L-glutamate ligase [EC:6.3.2.32]	EC:6.3.2.32	Yes
2706069563	431	73.49	78	424	39	385	0.0e+00	604	KO:K08975	putative membrane protein		Yes
2706069564	316	83.54	1	316	1	314	0.0e+00	604	KO:K03284	magnesium transporter		Yes
2706069565	90	79.55	1	88	1	88	8.4e-51	177	KO:K03105	signal recognition particle subunit SRP19		Yes
2706069566	405	67.72	1	402	1	403	0.0e+00	633	KO:K07129	uncharacterized protein		Yes
2706069567	413	67.31	1	411	1	410	0.0e+00	632	KO:K13038	phosphopantothenoylcysteine decarboxylase / phosphopantothenate--cysteine ligase [EC:4.1.1.36 6.3.2.5]	EC:4.1.1.36	Yes
2706069567	413	67.31	1	411	1	410	0.0e+00	632	KO:K13038	phosphopantothenoylcysteine decarboxylase / phosphopantothenate--cysteine ligase [EC:4.1.1.36 6.3.2.5]	EC:6.3.2.5	Yes
2706069571	414	50.25	14	394	21	382	1.9e-116	394	KO:K19140	CRISPR-associated protein Csm5		Yes
2706069572	363	62.7	2	359	3	377	0.0e+00	508	KO:K19139	CRISPR-associated protein Csm4		Yes
2706069573	263	63.24	8	258	4	239	4.9e-100	333	KO:K09002	CRISPR-associated protein Csm3		Yes
2706069574	161	57.04	7	147	23	164	8.6e-49	178	KO:K19138	CRISPR-associated protein Csm2		Yes
2706069575	801	54.46	4	798	5	838	0.0e+00	899	KO:K07016	CRISPR-associated protein Csm1		Yes
